deck,slide_number,item_name,line_index,line_text
Beverage Flash Cards,1,Beverage Item Descriptions & Pictures,0,Beverage Item Descriptions & Pictures
Beverage Flash Cards,2,Creamers & Milks,0,Creamers & Milks
Beverage Flash Cards,2,Creamers & Milks,1,PC Creamers
Beverage Flash Cards,2,Creamers & Milks,2,Mixture of the PC French vanilla and PC regular creamers served in a soup cup
Beverage Flash Cards,2,Creamers & Milks,3,Regular milk
Beverage Flash Cards,2,Creamers & Milks,4,Served in a milk carton
Beverage Flash Cards,2,Creamers & Milks,5,Milk Alternatives
Beverage Flash Cards,2,Creamers & Milks,6,Served in a mini glass carafe
Beverage Flash Cards,2,Creamers & Milks,7,Almond
Beverage Flash Cards,2,Creamers & Milks,8,Oat
Beverage Flash Cards,3,Cold Brew,0,Cold Brew
Beverage Flash Cards,3,Cold Brew,1,Coffee ice cube
Beverage Flash Cards,3,Cold Brew,2,Carafe of cold brew
Beverage Flash Cards,3,Cold Brew,3,Guest’s choice of creamer/milk
Beverage Flash Cards,3,Cold Brew,4,Served in a stemless wineglass
Beverage Flash Cards,3,Cold Brew,5,On  tray
Beverage Flash Cards,3,Cold Brew,6,Always ask guest if they would like to add cold foam
Beverage Flash Cards,4,New Orleans Cold Brew,0,New Orleans Cold Brew
Beverage Flash Cards,4,New Orleans Cold Brew,1,Coffee ice cube
Beverage Flash Cards,4,New Orleans Cold Brew,2,Carafe of cold brew
Beverage Flash Cards,4,New Orleans Cold Brew,3,Guest’s choice of creamer/milk
Beverage Flash Cards,4,New Orleans Cold Brew,4,Served in a stemless wineglass
Beverage Flash Cards,4,New Orleans Cold Brew,5,On  tray
Beverage Flash Cards,4,New Orleans Cold Brew,6,Always ask guest if they would like to add cold foam
Beverage Flash Cards,5,Marshmallow World Cold Brew,0,Marshmallow World Cold Brew
Beverage Flash Cards,5,Marshmallow World Cold Brew,1,Coffee ice cube with mocha cold brew
Beverage Flash Cards,5,Marshmallow World Cold Brew,2,Topped with marshmallow cold foam
Beverage Flash Cards,5,Marshmallow World Cold Brew,3,Dusted with hot chocolate powder and 3 mini marshmallows
Beverage Flash Cards,5,Marshmallow World Cold Brew,4,Served in a stemless wineglass
Beverage Flash Cards,5,Marshmallow World Cold Brew,5,On a tray
Beverage Flash Cards,6,Vanilla Coconut Cold Brew,0,Vanilla Coconut Cold Brew
Beverage Flash Cards,6,Vanilla Coconut Cold Brew,1,Coffee ice cube with coconut syrup and cold brew
Beverage Flash Cards,6,Vanilla Coconut Cold Brew,2,Topped with cold foam
Beverage Flash Cards,6,Vanilla Coconut Cold Brew,3,Add 3 coconut chips
Beverage Flash Cards,6,Vanilla Coconut Cold Brew,4,Served in a stemless wineglass
Beverage Flash Cards,6,Vanilla Coconut Cold Brew,5,On a tray
Beverage Flash Cards,7,Annie’s Lemonade,0,Annie’s Lemonade
Beverage Flash Cards,7,Annie’s Lemonade,1,"Ice, Strawberry reduction, and pink lemonade blended"
Beverage Flash Cards,7,Annie’s Lemonade,2,Served in a tall glass
Beverage Flash Cards,7,Annie’s Lemonade,3,On a tray
Beverage Flash Cards,8,Tropical Bliss Smoothie,0,Tropical Bliss Smoothie
Beverage Flash Cards,8,Tropical Bliss Smoothie,1,"Ice, banana, strawberry reduction, pineapple and OJ blended"
Beverage Flash Cards,8,Tropical Bliss Smoothie,2,Served in a tall glass
Beverage Flash Cards,8,Tropical Bliss Smoothie,3,On a tray
Beverage Flash Cards,9,Cold Pressed Juices,0,Cold Pressed Juices
Beverage Flash Cards,9,Cold Pressed Juices,1,Ice
Beverage Flash Cards,9,Cold Pressed Juices,2,"Choice of Kale to the King, Walk on the Beach, or Just Beet It Juice"
Beverage Flash Cards,9,Cold Pressed Juices,3,Served in a stemless wineglass
