utensil,uses,notes
Purple .75oz Scoop,"Daisy Cakes, Whipped Butter, Sour Cream, Caramelized Onions, Roasted Red Peppers",
Blue 2oz Scoop,"All Shredded and Crumbled Cheeses, Avocado Chunk, All Diced/Chopped Meats and Vegetables on Stations",
Grey 4oz Scoop,"Cranberry Chicken Salad, Cheesy Grits",
White 5.3oz Scoop,Full size pancakes,
Small Baseball Cap 2 oz Scoop,"Maple Walnuts, Dried Cranberries, Toasted Coconut, Marshmallows",
Large Baseball Cap 4oz Scoop,"Granola, Oreo Cookie Pieces, Oatmeal",
2oz Ladle,"Hollandaise, Salsa, Strawberry Sauce",
6oz Ladle,"Soups, Whipped Egg, Vegan Egg, Egg Whites",
Metal Dredge,"Cinnamon, Paprika, Garlic Pepper Seasoning",
Plastic Dredge,"Black Pepper, Cajun Seasoning, Lemon Zest, Everything Bagel Seasoning, Pink Sea Salt, Graham Cracker Crumbs",
Pointed Tip Squeeze Bottle Top,"All Dressings, Drizzles, and Sauces (Caramel and Chocolate sauce can stay in the squeeze bottles the come in unless they are in a bulk container and need to be bottled)",Do not cut tip lower than first line from the top
Colored Tri-Tip Squeeze Bottle Top,Cheesecake Delight for table side drizzle on Cinnamon Rolls,
